instance,Best,Avg,AvgT
SetA_8x4S5,5174,5174.0,0.0
SetA_8x4S10,5169,5169.0,0.0
SetA_8x4S15,5112,5112.0,0.0032
SetA_8x4S20,5086,5086.0,0.0
SetA_8x4S30,5063,5063.0,0.0
SetA_9x4S5,6047,6047.0,0.0
SetA_9x4S10,6027,6027.0,0.0051
SetA_9x4S15,5976,5976.0,0.0
SetA_9x4S20,5937,5937.0,0.0
SetA_9x4S30,5904,5904.0,0.0
SetA_10x4S5,6518,6534.0,0.001
SetA_10x4S10,6325,6325.0,0.0
SetA_10x4S15,6296,6296.0,0.0
SetA_10x4S20,6267,6267.0,0.0
SetA_10x4S30,6193,6193.0,0.001
SetA_10x5S5,6616,6616.0,0.003799999999999999
SetA_10x5S10,6476,6476.0,0.0
SetA_10x5S15,6397,6397.0,0.0
SetA_10x5S20,6342,6342.0,0.0
SetA_10x5S30,6308,6308.0,0.0
SetA_11x5S5,7812,7812.0,0.002
SetA_11x5S10,7572,7572.0,0.003
SetA_11x5S15,7535,7535.0,0.017
SetA_11x5S20,7439,7439.0,0.0
SetA_11x5S30,7420,7420.0,0.0
SetA_12x5S5,8072,8072.0,0.002
SetA_12x5S10,7978,7978.0,0.0
SetA_12x5S15,7939,7939.0,0.0
SetA_12x5S20,7939,7939.0,0.003
SetA_12x5S30,7923,7923.0,0.008
SetA_12x6S5,10891,10891.0,0.10300000000000001
SetA_12x6S10,10456,10456.0,0.007000000000000001
SetA_12x6S15,10362,10362.0,0.001
SetA_12x6S20,10312,10312.0,0.002
SetA_12x6S30,10228,10228.0,0.001
SetA_15x6S5,13927,13927.0,0.041
SetA_15x6S10,13803,13803.0,0.009
SetA_15x6S15,13765,13765.0,0.10400000000000001
SetA_15x6S20,13720,13720.0,0.016100000000000003
SetA_15x6S30,13567,13567.0,0.015000000000000003
SetA_15x7S5,15054,15054.0,0.05
SetA_15x7S10,14810,14810.0,0.12910000000000002
SetA_15x7S15,14657,14657.0,0.073
SetA_15x7S20,14514,14514.0,0.10200000000000001
SetA_15x7S30,14409,14409.0,0.044
SetA_20x10S5,29907,29907.0,0.771
SetA_20x10S10,29236,29236.0,0.033
SetA_20x10S15,29135,29135.0,0.024000000000000004
SetA_20x10S20,28945,28945.0,0.036
SetA_20x10S30,28533,28533.0,0.019
