Instance,LNS,Time,IQAP_CPLEX,Time,Avg_Gap,AvgTimeTimeToBest-LA-HM
SetA_8x4S5.txt,5227.6,0,5180.4,0.09,0,0
SetA_8x4S10.txt,5335.3,0,5331.3,0.104,0,0
SetA_8x4S15.txt,5349.2,0,5342.3,0.093,0,0.0032
SetA_8x4S20.txt,5269.7,0,5257.3,0.108,0,0
SetA_8x4S30.txt,5297,0,5291.3,0.092,0,0
SetA_9x4S5.txt,6130.2,0,6123.3,0.109,0,0
SetA_9x4S10.txt,6137,0,6137,0.104,0,0.0051
SetA_9x4S15.txt,6171.2,0.001,6170.6,0.09,0,0
SetA_9x4S20.txt,6118.9,0,6112.4,0.102,0,0
SetA_9x4S30.txt,6154.4,0,6146,0.11,0,0
SetA_10x4S5.txt,6594.3,0,6590.9,0.105,0,0.001
SetA_10x4S10.txt,6600.7,0,6592.6,0.099,0,0
SetA_10x4S15.txt,6575.3,0.001,6564.1,0.111,0,0
SetA_10x4S20.txt,6579.6,0.001,6566.6,0.091,0,0
SetA_10x4S30.txt,6567.1,0.001,6565.1,0.093,0,0.001
SetA_10x5S5.txt,6724.909091,0,6676,1.990909091,0.001372727,0.0038
SetA_10x5S10.txt,6691.9,0,6656.3,1.599,0,0
SetA_10x5S15.txt,6652.9,0,6627.7,1.609,0.00924,0
SetA_10x5S20.txt,6648.5,0,6617.5,2.135,0.0083,0
SetA_10x5S30.txt,6674.9,0,6652.4,1.725,0.01356,0
SetA_11x5S5.txt,7952.8,0,7948.7,1.82,0,0.002
SetA_11x5S10.txt,7848,0,7847.4,1.607,0,0.003
SetA_11x5S15.txt,7902.8,0,7871.8,2.013,0.00257,0.017
SetA_11x5S20.txt,7885.1,0.001,7860.8,2.16,0,0
SetA_11x5S30.txt,7879,0.001,7839.6,1.377,0.00264,0
SetA_12x5S5.txt,8381.9,0,8366.7,2.119,0,0.002
SetA_12x5S10.txt,8407.9,0,8384.6,1.839,0.00829,0
SetA_12x5S15.txt,8390.7,0,8355.9,1.385,0,0
SetA_12x5S20.txt,8425.3,0.001,8410.7,1.589,0,0.003
SetA_12x5S30.txt,8333.9,0,8327.3,2.01,0.00606,0.008
SetA_12x6S5.txt,11074.3,0,11024.4,9.638,44.01853,0.103
SetA_12x6S10.txt,10924.8,0,10890.2,9.727,52.16315,0.007
SetA_12x6S15.txt,10923.6,0,10915.4,9.513,42.80525,0.001
SetA_12x6S20.txt,10878.9,0,10893.5,9.599,51.41989,0.002
SetA_12x6S30.txt,10864.3,0.001,10821.5,9.689,49.01411,0.001
SetA_15x6S5.txt,14589.4,0.001,14555.4,9.838,46.52389,0.041
SetA_15x6S10.txt,14642.4,0.001,14583.5,9.969,56.94327,0.009
SetA_15x6S15.txt,14633,0.002,14642.3,9.461,45.53277,0.104
SetA_15x6S20.txt,14595.1,0.001,14580.6,9.979,47.35314,0.0161
SetA_15x6S30.txt,14565,0,14597.6,9.825,48.22173,0.015
SetA_15x7S5.txt,15547.4,0,15685.9,9.991,86.61234,0.05
SetA_15x7S10.txt,15579.6,0.002,15707.7,9.985,87.17367,0.1291
SetA_15x7S15.txt,15482.3,0.002,15681.9,9.98,87.45581,0.073
SetA_15x7S20.txt,15430.9,0.002,15579.1,9.989,88.2469,0.102
SetA_15x7S30.txt,15401.6,0.001,15559.3,9.964,89.09595,0.044
SetA_20x10S5.txt,31346.2,0.003,32517.4,10,100,0.771
SetA_20x10S10.txt,31319.8,0.005,32354.7,10,100,0.033
SetA_20x10S15.txt,31410.2,0,32325.1,10,100,0.024
SetA_20x10S20.txt,31133.9,0.005,32575.3,10,100,0.036
SetA_20x10S30.txt,31102.6,0,32518,10,99.40187,0.019
Average,11327.06618,0.0007,11448.5,4.51,28.4,0.033
SetB_25x10S5.txt,52513.6,0.001,53345.4,200,93.49062,0.143
SetB_25x10S10.txt,52222.7,0.003,53307.5,200,92.51672,0.462
SetB_25x10S15.txt,52456.8,0.001,53565.4,200,93.8515,0.135
SetB_25x10S20.txt,52105.6,0.004,53251.7,200,93.91155,0.103
SetB_25x10S30.txt,51463.1,0.003,52843.1,200,95.56308,0.214
SetB_25x20S30.txt,54400.4,0.015,61196.6,200,100,3.905
SetB_50x10S5.txt,206271.8,0.003,208411.4,200,92.12325,97.562
SetB_50x10S10.txt,205205,0.001,207343.7,200,92.64532,61.161
SetB_50x10S15.txt,204570.3,0.001,207006.7,200,94.50274,41.786
SetB_50x10S20.txt,203181.4,0.001,205940.4,200,93.60721,104.432
SetB_50x10S30.txt,201915.8,0.004,205177.4,200,95.67516,18.546
SetB_50x20S5.txt,257381.1,0.019,273740.2,200,100,110.485
SetB_50x20S10.txt,256521.4,0.014,269711.5,200,100,43.257
SetB_50x20S15.txt,255309.7,0.02,268984.1,200,100,70.218
SetB_50x20S20.txt,251940.3,0.02,265012.6,200,100,79.096
SetB_50x20S30.txt,247820.6,0.021,263566.6,200,100,101.973
SetB_50x30S15.txt,291015.3,0.054,323725.9,200,100,64.237
SetB_50x30S20.txt,287367.3,0.062,318556.9,200,100,85.084
SetB_50x30S30.txt,280385.1,0.063,310398.8,200,100,61.727
SetB_50x43S30.txt,346062.4,0.167,397878.4,200,100,111.333
SetB_75x10S5.txt,469944.1,0.001,472588.7,200,92.91079,112.496
SetB_75x10S10.txt,467786.1,0.003,471706.4,200,93.11321,101.19
SetB_75x10S15.txt,464311.6,0.004,469624.1,200,93.42366,104.284
SetB_75x10S20.txt,462860.2,0.004,467598,200,94.14805,80.453
SetB_75x10S30.txt,460751.9,0.003,466799.6,200,92.91612,79.625
SetB_75x20S5.txt,578934.6,0.019,597899.1,200,100,96.27
SetB_75x20S10.txt,573572.8,0.017,593129,200,100,114.349
SetB_75x20S15.txt,568166.6,0.02,590248,200,100,93.314
SetB_75x20S20.txt,560790.9,0.019,585338.1,200,100,95.495
SetB_75x20S30.txt,553834.1,0.021,589485.4,200,100,108.312
SetB_75x30S10.txt,689774.5,0.06,730195.7,200,100,109.837
SetB_75x30S15.txt,680950,0.067,721064.3,200,100,139.867
SetB_75x30S20.txt,669551.4,0.062,710698.5,200,100,135.75
SetB_75x30S30.txt,656675.3,0.067,710618.9,200,100,116.48
SetB_100x10S5.txt,820325.1,0.006,825481.4,200,91.84407,101.734
SetB_100x10S10.txt,815125.5,0.004,821400.4,200,93.46388,93.439
SetB_100x10S15.txt,811113.7,0.0018,817846.8,200,94.60613,101.759
SetB_100x10S20.txt,808696.6,0.005,815307.5,200,92.43737,119.485
SetB_100x10S30.txt,806522,0.001,813299.2,200,92.02391,88.021
SetB_100x20S5.txt,1048647.6,0.019,1073390.8,200,100,92.78
SetB_100x20S10.txt,1038881.8,0.023,1067106.6,200,100,89.925
SetB_100x20S15.txt,1029049,0.021,1063716.1,200,100,115.991
SetB_100x20S20.txt,1017441.7,0.023,1061529.6,200,100,104.154
SetB_100x20S30.txt,1005727.2,0.02,1067583.8,200,100,86.432
SetB_100x30S5.txt,1262616.6,0.056,1313521.7,200,100,122.047
SetB_100x30S10.txt,1250657.8,0.065,1301306.6,200,100,124.228
SetB_100x30S15.txt,1229899.1,0.067,1279689,200,100,142.098
SetB_100x30S20.txt,1215044.2,0.068,1281224.5,200,100,102.685
SetB_100x30S30.txt,1195876.6,0.061,1288361,200,100,127.931
Average,551502.8224,0.026220408,573892.3082,200,97.32192531,84.8222449
