Algorithm,Value,Type
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0.002093802,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0.048025681,Best
LA-ITS,0.10634238,Best
LA-ITS,0.083318429,Best
LA-ITS,0.076991491,Best
LA-ITS,0.03314581,Best
LA-ITS,0.222789902,Best
LA-ITS,0.183579064,Best
LA-ITS,0.174240921,Best
LA-ITS,0.314479741,Best
LA-ITS,0,Best
LA-ITS,0.020977893,Best
LA-ITS,0,Best
LA-ITS,0.008209738,Best
LA-ITS,0,Best
LA-ITS,0.1944176,Best
LA-ITS,0.081040241,Best
LA-ITS,0.08469007,Best
LA-ITS,0.033173096,Best
LA-ITS,0.110441399,Best
LA-ITS,0.383249086,Best
LA-ITS,0.349783125,Best
LA-ITS,0.144396721,Best
LA-ITS,0.309421297,Best
LA-ITS,0.001297714,Best
LA-ITS,0.015887209,Best
LA-ITS,0.012328282,Best
LA-ITS,0,Best
LA-ITS,0,Best
LA-ITS,0.12889176,Best
LA-ITS,0.111870569,Best
LA-ITS,0.122611683,Best
LA-ITS,0.016610933,Best
LA-ITS,0.059920756,Best
LA-ITS,0.347369858,Best
LA-ITS,0.334444888,Best
LA-ITS,0.168878868,Best
LA-ITS,0.155646563,Best
LA-ITS,0.219632667,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0.006345715,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0.015736359,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0.034488382,Best
LA-HM,0.015904994,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
LA-HM,0,Best
MLNS,2.701324138,Best
MLNS,3.533859303,Best
MLNS,3.491230607,Best
MLNS,3.895589033,Best
MLNS,4.159445407,Best
MLNS,0.663781224,Best
MLNS,5.369556114,Best
MLNS,5.950693798,Best
MLNS,5.8289187,Best
MLNS,5.811152336,Best
MLNS,6.916923749,Best
MLNS,4.472286233,Best
MLNS,6.40412677,Best
MLNS,7.06549003,Best
MLNS,7.540298851,Best
MLNS,8.065783081,Best
MLNS,3.433974175,Best
MLNS,5.81474228,Best
MLNS,6.634649732,Best
MLNS,1.709736718,Best
MLNS,5.285364046,Best
MLNS,5.666566772,Best
MLNS,5.969263564,Best
MLNS,6.21899358,Best
MLNS,6.706862065,Best
MLNS,7.178860402,Best
MLNS,7.7883329,Best
MLNS,7.99626816,Best
MLNS,8.531246275,Best
MLNS,8.983857624,Best
MLNS,7.131170501,Best
MLNS,8.153367706,Best
MLNS,8.467704828,Best
MLNS,9.907728938,Best
MLNS,4.993083186,Best
MLNS,5.50721555,Best
MLNS,5.689701112,Best
MLNS,5.609842824,Best
MLNS,6.586434807,Best
MLNS,7.365377402,Best
MLNS,7.673409976,Best
MLNS,8.129509801,Best
MLNS,8.436714532,Best
MLNS,9.654311096,Best
MLNS,7.653092722,Best
MLNS,8.709087206,Best
MLNS,8.968839623,Best
