Second,LDDITSN,Tabu,F2000,F40000,F100000
1,921832.6,923278.5,921233.1,923311.1,923278.5
2,920727.9,922328.2,920051,922303.2,922328.2
3,920397,921951.3,919135.3,921403.6,921954.2
4,920118.5,921610.5,918695.5,920778.1,921450
5,919858.3,921053.6,918438.7,920398,921095.1
6,919691,920796,918067,920188.5,920845.9
7,919509,920511.3,917905.4,920054.2,920504.9
8,919422.1,920390.5,917731.1,919876.8,920359.6
9,919205.1,920325.6,917578.9,919532.5,920242.9
10,919051.5,920225.4,917413.2,919432.2,920005.9
11,919013.6,920009.4,917289.5,919335.1,919991.9
12,918985.6,919956,917289.5,919199.2,919961.9
13,918925.3,919876.4,917277,919030.7,919917.6
14,918813.6,919845,917277,918881.2,919875.9
15,918725.2,919826.8,917233.4,918880.7,919814.7
16,918441.1,919712.9,917233.4,918879.8,919727
17,918234.9,919688.7,917177.9,918828.9,919662.1
18,918143.1,919630.6,917177.9,918771.7,919542.7
19,918143.1,919470.7,917138.1,918716.6,919290.1
20,918013,919336.4,917088.8,918686.3,919263.5
21,917967.7,919120.5,917081.5,918668.3,919027.1
22,917885.7,919058,917081.5,918621.7,918998.8
23,917864.7,919050.6,917081.5,918612.9,918926.4
24,917835.9,918859.4,917081.5,918612.9,918913.7
25,917831.5,918820.5,917081.5,918612.9,918811.2
26,917825.9,918775.5,917071.1,918578.4,918752.6
27,917802.6,918700.5,917026.9,918476.1,918737
28,917798.5,918652.3,917023.3,918372.8,918732.2
29,917773,918618,917023.3,918371.6,918695.7
30,917708.4,918613,917023.3,918276.3,918689.1
31,917688.8,918613,917023.3,918101.7,918653.3
32,917688.8,918613,917023.3,918060.4,918627.3
33,917688.8,918612.6,916976.6,918011.6,918627.3
34,917688.8,918594.4,916924.1,917969,918627.3
35,917640.5,918594.4,916907.9,917926.5,918627.3
36,917590,918594.4,916891.6,917916.7,918617.7
37,917538.6,918591.7,916891.6,917809,918617.7
38,917513.2,918541,916891.6,917749.1,918596.8
39,917513.2,918523.4,916891.6,917749.1,918576
40,917452.3,918506.5,916891.6,917664.9,918576
41,917442.8,918488.8,916891.6,917664.9,918523.1
42,917427.2,918440.6,916873.7,917635.6,918363.8
43,917397.2,918440.6,916839.7,917635.6,918309.2
44,917372.3,918433.8,916839.7,917589.2,918267.8
45,917372.3,918420.4,916789.5,917569.6,918207
46,917372.3,918420.4,916789.5,917541.6,918207
47,917347.3,918407.4,916789.5,917503.6,918207
48,917330.8,918407.4,916789.5,917503.6,918207
49,917265.6,918407.4,916789.5,917463.4,918187
50,917257.8,918407.4,916789.5,917463.4,918163
51,917185.4,918405.9,916789.5,917442.6,918160.7
52,917156.9,918358.9,916789.5,917403.7,918155.8
53,917112.7,918358.9,916789.5,917391.6,918133.2
54,917105.4,918358.9,916789.5,917386.9,918059.9
55,917087.6,918355.1,916789.5,917344.5,917958.1
56,917087.6,918355.1,916789.5,917340.8,917923.1
57,917036.6,918355.1,916789.5,917340.8,917851.9
58,917030.9,918355.1,916720.7,917340.8,917825.6
59,917021.2,918355.1,916720.7,917326.5,917809.7
60,917009.7,918344.7,916720.7,917326.5,917734.6
61,917009.7,918344.7,916720.7,917316.9,917729.2
62,917009.7,918332,916720.7,917288.3,917704.4
63,917009.7,918326.4,916710.5,917262.6,917694.3
64,917009.7,918311.3,916710.5,917180.1,917694.3
65,917009.7,918295,916710.5,917124.9,917679
66,917009.7,918295,916710.5,917103.7,917621.8
67,917003.2,918293.8,916708.8,917103.7,917502.5
